frame vehicles pedestrian wait
1 0 0 0 
2 0 0 0 
3 5 0 0 
4 5 0 1 
5 5 0 5 
6 5 0 1 
7 5 0 5 
8 6 0 9 
9 6 0 4 
10 6 0 8 
11 6 0 3 
12 6 0 6 
13 6 0 5 
14 6 0 8 
15 7 0 11 
16 7 0 7 
17 6 0 10 
18 6 0 10 
19 6 0 13 
20 8 0 16 
21 7 0 7 
22 7 0 12 
23 7 0 8 
24 6 0 11 
25 6 0 10 
26 6 0 8 
27 6 0 11 
28 6 0 11 
29 6 0 13 
30 7 0 11 
31 7 0 15 
32 6 0 16 
33 6 0 14 
34 6 0 18 
35 6 0 13 
36 6 0 17 
37 5 0 3 
38 5 0 7 
39 6 0 11 
40 6 0 6 
41 5 0 7 
42 6 0 3 
43 6 0 8 
44 7 0 13 
45 7 0 7 
46 7 0 13 
47 7 0 6 
48 7 0 12 
49 7 0 10 
50 7 0 16 
51 7 0 22 
52 7 0 13 
53 7 0 10 
54 6 0 6 
55 6 0 11 
56 7 0 16 
57 7 0 8 
58 7 0 13 
59 7 0 12 
60 8 0 16 
61 8 0 14 
62 8 0 18 
63 8 0 22 
64 8 0 18 
65 7 0 20 
66 8 0 6 
67 8 0 12 
68 8 0 18 
69 9 0 16 
70 8 0 19 
71 9 0 6 
72 8 0 9 
73 8 0 9 
74 8 0 11 
75 8 0 15 
76 8 0 11 
77 8 0 15 
78 8 0 7 
79 8 0 10 
80 8 0 13 
81 7 0 5 
82 6 0 6 
83 6 0 5 
84 5 0 8 
85 5 0 3 
86 4 0 4 
87 4 0 7 
88 4 0 6 
89 4 0 5 
90 4 0 4 
91 3 0 5 
92 3 0 7 
93 3 0 3 
94 3 0 5 
95 3 0 3 
96 3 0 5 
97 3 0 3 
98 3 0 5 
99 3 0 7 
100 3 0 3 
101 2 0 2 
102 2 0 0 
103 2 0 2 
104 3 0 4 
105 3 0 1 
106 3 0 4 
107 3 0 3 
108 3 0 6 
109 4 0 5 
110 4 0 8 
111 4 0 11 
112 4 0 0 
113 4 0 3 
114 4 0 3 
115 4 0 5 
116 4 0 5 
117 4 0 7 
118 4 0 9 
