Comuna Nombre;Ubicacion Contador;Codigo Contador;Arco;Dato Tipo;Fecha;HMS Conteo;Flujo;ID Dato;Fecha Proyeccion;Flujo Proyeccion
Estacion Central;RADAL-ECUADOR;D008274;N008271L;R;Jue.30-06-2022;23:00:00;71;7.581.593,00000000000000;23-06-2022 23:00:00;71
Estacion Central;ECUADOR-RADAL;D008271;N008271E;R;Jue.30-06-2022;23:00:00;258;7.581.493,00000000000000;23-06-2022 23:00:00;258
Estacion Central;RADAL-ECUADOR;D008274;N008271L;R;Jue.30-06-2022;22:45:00;63;7.581.592,00000000000000;23-06-2022 22:45:00;63
Estacion Central;ECUADOR-RADAL;D008271;N008271E;R;Jue.30-06-2022;22:45:00;265;7.581.492,00000000000000;23-06-2022 22:45:00;265
Estacion Central;RADAL-ECUADOR;D008274;N008271L;R;Jue.30-06-2022;22:30:00;72;7.581.591,00000000000000;23-06-2022 22:30:00;72
Estacion Central;ECUADOR-RADAL;D008271;N008271E;R;Jue.30-06-2022;22:30:00;286;7.581.491,00000000000000;23-06-2022 22:30:00;286
Estacion Central;RADAL-ECUADOR;D008274;N008271L;R;Jue.30-06-2022;22:15:00;115;7.581.590,00000000000000;23-06-2022 22:15:00;115
Estacion Central;ECUADOR-RADAL;D008271;N008271E;R;Jue.30-06-2022;22:15:00;264;7.581.490,00000000000000;23-06-2022 22:15:00;264
Estacion Central;RADAL-ECUADOR;D008274;N008271L;R;Jue.30-06-2022;22:00:00;116;7.581.589,00000000000000;23-06-2022 22:00:00;116
Estacion Central;ECUADOR-RADAL;D008271;N008271E;R;Jue.30-06-2022;22:00:00;280;7.581.489,00000000000000;23-06-2022 22:00:00;280
Estacion Central;RADAL-ECUADOR;D008274;N008271L;R;Jue.30-06-2022;21:45:00;76;7.581.588,00000000000000;23-06-2022 21:45:00;76
Estacion Central;ECUADOR-RADAL;D008271;N008271E;R;Jue.30-06-2022;21:45:00;295;7.581.488,00000000000000;23-06-2022 21:45:00;295
Estacion Central;RADAL-ECUADOR;D008274;N008271L;R;Jue.30-06-2022;21:30:00;111;7.581.587,00000000000000;23-06-2022 21:30:00;111
Estacion Central;ECUADOR-RADAL;D008271;N008271E;R;Jue.30-06-2022;21:30:00;297;7.581.487,00000000000000;23-06-2022 21:30:00;297
Estacion Central;RADAL-ECUADOR;D008274;N008271L;R;Jue.30-06-2022;21:15:00;122;7.581.586,00000000000000;23-06-2022 21:15:00;122
Estacion Central;ECUADOR-RADAL;D008271;N008271E;R;Jue.30-06-2022;21:15:00;346;7.581.486,00000000000000;23-06-2022 21:15:00;346
Estacion Central;RADAL-ECUADOR;D008274;N008271L;R;Jue.30-06-2022;21:00:00;107;7.581.585,00000000000000;23-06-2022 21:00:00;107
Estacion Central;ECUADOR-RADAL;D008271;N008271E;R;Jue.30-06-2022;21:00:00;357;7.581.485,00000000000000;23-06-2022 21:00:00;357
Estacion Central;RADAL-ECUADOR;D008274;N008271L;R;Jue.30-06-2022;20:45:00;125;7.581.584,00000000000000;23-06-2022 20:45:00;125
Estacion Central;ECUADOR-RADAL;D008271;N008271E;R;Jue.30-06-2022;20:45:00;324;7.581.484,00000000000000;23-06-2022 20:45:00;324
Estacion Central;RADAL-ECUADOR;D008274;N008271L;R;Jue.30-06-2022;20:30:00;131;7.581.583,00000000000000;23-06-2022 20:30:00;131
Estacion Central;ECUADOR-RADAL;D008271;N008271E;R;Jue.30-06-2022;20:30:00;392;7.581.483,00000000000000;23-06-2022 20:30:00;392
